ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
Treponema pallidum 23S rRNA with mutation conferring resistance to erythromycin	3007759	rRNA gene variant model	CARD	1	100.0	no data	no data	Treponema pallidum	1611.00	0.00	1611.00	86.26	2542.00	123.67	0	0	0	0	N/A	N/A		2947	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
Vibrio vulnificus rpoB mutants conferring resistance to rifampin	3007794	protein variant model	CARD	1	100.0	no data	no data	Vibrio vulnificus	24.00	0.00	24.00	27.35	1102.00	97.42	0	0	0	0	N/A	N/A		4029	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
tet(65)	3007838	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium sp.	8.00	0.00	8.00	37.93	437.00	152.38	0	0	0	0	N/A	N/A		1152	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
OXA-1106	3008524	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pulli	8.00	0.00	8.00	28.15	228.00	65.12	0	0	0	0	N/A	N/A		810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-1206	3008618	protein homolog model	CARD	1	100.0	no data	no data	Cupriavidus taiwanensis	8.00	0.00	8.00	26.31	221.00	65.88	0	0	0	0	N/A	N/A		840	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
Mycobacterium tuberculosis fgd1 with mutation conferring resistance to delamanid	3007849	protein variant model	CARD	1	100.0	no data	no data	Mycobacterium tuberculosis	19.00	0.00	19.00	77.25	781.00	116.84	0	0	0	0	N/A	N/A		1011	delamanid-resistant fgd1	nitroimidazole antibiotic	antibiotic target alteration
Mycobacterium avium gyrA with mutation conferring resistance to fluoroquinolone	3007473	protein variant model	CARD; Resistomes & Variants	5	70.21 - 100.0	no data	no data	Mycobacterium avium; Corynebacterium urealyticum; Corynebacterium amycolatum; Corynebacterium diphtheriae	323.00	0.00	323.00	50.32	1283.00	119.21	0	0	0	0	N/A	N/A		2520; 2517; 2517; 2604; 2571	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
adeF	3000777	protein homolog model	Resistomes & Variants	294	40.53 - 99.91	YES	YES	Acinetobacter haemolyticus; Aeromonas hydrophila; Acinetobacter johnsonii; Acinetobacter calcoaceticus; Aliarcobacter butzleri; Achromobacter xylosoxidans; Achromobacter insolitus; Acinetobacter pittii; Acinetobacter junii; Acinetobacter baumannii; Aeromonas veronii; Comamonas testosteroni; Delftia tsuruhatensis; Burkholderia dolosa; Bordetella bronchiseptica; Cupriavidus campinensis; Burkholderia vietnamiensis; Cronobacter dublinensis; Bordetella trematum; Burkholderia cepacia; Burkholderia glumae; Burkholderia thailandensis; Burkholderia multivorans; Brucella intermedia; Bordetella petrii; Burkholderia cenocepacia; Cupriavidus metallidurans; Bordetella pertussis; Burkholderia lata; Yersinia kristensenii; Enterobacter cloacae; Enterobacter chengduensis; Methylorubrum populi; Enterobacter asburiae; Pseudomonas stutzeri; Klebsiella aerogenes; Pseudomonas koreensis; Moraxella osloensis; Klebsiella pneumoniae; Pseudomonas putida; Pseudomonas aeruginosa; Shewanella putrefaciens; Raoultella planticola; Serratia rubidaea; Xanthomonas campestris; Enterobacter roggenkampii; Pseudomonas monteilii; Pseudomonas chlororaphis; Enterobacter hormaechei; Ralstonia pickettii; Pseudomonas brassicacearum; Sphingobium yanoikuyae; Klebsiella michiganensis; Serratia liquefaciens; Rhizobium leguminosarum; Inquilinus limosus; Pseudomonas fluorescens; Klebsiella quasipneumoniae; Pseudomonas mendocina; Leclercia adecarboxylata; Rhodanobacter glycinis; Stenotrophomonas maltophilia; Enterobacter kobei; Ralstonia solanacearum; Pseudomonas syringae; Serratia marcescens; Rhodopseudomonas palustris; Laribacter hongkongensis; Ralstonia mannitolilytica; Dechloromonas aromatica	2320.00	0.00	2320.00	16.12	513.45	142.38	0	0	0	0	N/A	N/A		3165; 3129; 3150; 3129; 3150; 3177; 3177; 3177; 3129; 3216; 3222; 3183; 3216; 3180; 3183; 3216; 3222; 3216; 3183; 3216; 3177; 3174; 3180; 3177; 3180; 2466; 1806; 3180; 3150; 3195; 3195; 3231; 3231; 3195; 3252; 3156; 3252; 3156; 3252; 3252; 3201; 3201; 3186; 3180; 3186; 3180; 3180; 3165; 3156; 3156; 3201; 3117; 3150; 3171; 3192; 3192; 3174; 3147; 3192; 3186; 3201; 3300; 3201; 3168; 3249; 3216; 3270; 3207; 3210; 3186; 3204; 3240; 3186; 3192; 3186; 3246; 3192; 3147; 3192; 3252; 3159; 3195; 3159; 3153; 3150; 3237; 3156; 3153; 3114; 3153; 3114; 3147; 3156; 3156; 3195; 3225; 3186; 3195; 3225; 3225; 3192; 3210; 3147; 3156; 3114; 3114; 3156; 3138; 3135; 3138; 3171; 3135; 3171; 3138; 3171; 3147; 3147; 3099; 3264; 3336; 3129; 3180; 3153; 3180; 3189; 3153; 3126; 3126; 3153; 3180; 3132; 3156; 3153; 3153; 3153; 3123; 3153; 3180; 3123; 3129; 3123; 3180; 3153; 3123; 3180; 3129; 3228; 3180; 3180; 3174; 3114; 3147; 3135; 3171; 3171; 3171; 3171; 3150; 3171; 3171; 3156; 3147; 3123; 3153; 3180; 3180; 3180; 3144; 3141; 3129; 3114; 3114; 3153; 3180; 3108; 3189; 3189; 3189; 3189; 3189; 3189; 3189; 3189; 3153; 3114; 3138; 3174; 3144; 3114; 3114; 3144; 3189; 3186; 3186; 3201; 3189; 3201; 3189; 3201; 3183; 3168; 3183; 3189; 3147; 3183; 3168; 3183; 3147; 3183; 3183; 3168; 3180; 3099; 3150; 3180; 3153; 3099; 3096; 3165; 3099; 3099; 3114; 3099; 3162; 3162; 3162; 3180; 3099; 3162; 3099; 3093; 3180; 3153; 3141; 3135; 3138; 3144; 3144; 3114; 3141; 3186; 3189; 3171; 3189; 3189; 2445; 3180; 3144; 4479; 4212; 3171; 3171; 3171; 3171; 3171; 3171; 3171; 3171; 3171; 3126; 3171; 3171; 3114; 3162; 3162; 3150; 3156; 3156; 3210; 3213; 3150; 3150; 3180; 3147; 3135; 3147; 3138; 3138; 3147; 3144; 3144; 3144; 3237; 3222; 3231; 3237; 3237; 3237; 3237; 3237; 3234; 3198; 3153; 3189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
sul2	3000412	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Actinobacillus pleuropneumoniae	4.00	0.00	4.00	32.24	295.00	198.00	0	0	0	0	N/A	N/A		915	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
lnuC	3002837	protein homolog model	Resistomes & Variants	2	91.46 - 97.56	NO	NO	Anaerostipes hadrus; Glaesserella parasuis	3.00	0.00	3.00	14.70	82.50	128.00	0	0	0	0	N/A	N/A		543; 564	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
vanY gene in vanB cluster	3002956	protein homolog model	Resistomes & Variants	15	32.89 - 58.24	YES	NO	Anaerostipes hadrus; Bacillus cereus; Bacillus thuringiensis; Clostridium botulinum; Clostridium sporogenes; Roseburia hominis; Paeniclostridium sordellii; Enterobacter roggenkampii; Enterococcus faecium; Streptococcus suis; Streptococcus agalactiae	47.00	0.00	47.00	13.12	98.87	74.58	0	0	0	0	N/A	N/A		684; 780; 720; 756; 780; 717; 744; 801; 759; 726; 705; 1134; 615; 1098; 747	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
CepS	3003553	protein homolog model	Resistomes & Variants	1	95.55	YES	NO	Aeromonas hydrophila	1.00	0.00	1.00	1.34	17.00	23.00	0	0	0	0	N/A	N/A		1272	CepS beta-lactamase	cephalosporin	antibiotic inactivation
qacJ	3007014	protein homolog model	Resistomes & Variants	8	35.58 - 71.96	YES	NO	Acinetobacter radioresistens; Bacillus velezensis; Citrobacter portucalensis; Escherichia coli; Staphylococcus aureus	42.00	0.00	42.00	33.22	134.75	104.57	0	0	0	0	N/A	N/A		345; 663; 333; 627; 285; 447; 351; 333	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
qacG	3007015	protein homolog model	Resistomes & Variants	8	33.65 - 53.77	YES	NO	Aeromonas caviae; Bacillus pumilus; Burkholderia cenocepacia; Pseudomonas stutzeri; Morganella morganii; Klebsiella pneumoniae; Streptococcus agalactiae	8216.00	0.00	8216.00	36.93	325.38	85.63	0	0	0	0	N/A	N/A		519; 318; 321; 1182; 333; 336; 1314; 327	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
tet(X6)	3005056	protein homolog model	Resistomes & Variants	1	100.0	NO	YES	Acinetobacter lwoffii; Acinetobacter towneri	3.00	0.00	3.00	9.32	106.00	145.33	0	0	0	0	N/A	N/A		1137	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
OXA-420	3003116	protein homolog model	Resistomes & Variants	1	99.22	NO	NO	Acinetobacter towneri	3.00	0.00	3.00	16.09	182.00	99.33	0	0	0	0	N/A	N/A		1131	OXA beta-lactamase; OXA-58-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
APH(3')-VIa	3002652	protein homolog model	Resistomes & Variants	1	98.07	NO	YES	Acinetobacter indicus	3.00	0.00	3.00	11.67	91.00	37.67	0	0	0	0	N/A	N/A		780	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AxyY	3004144	protein homolog model	Resistomes & Variants	4	92.92 - 99.43	YES	NO	Achromobacter xylosoxidans	49.00	0.00	49.00	25.57	803.00	119.62	0	0	0	0	N/A	N/A		3138; 3138; 3147; 3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
catB3	3002676	protein homolog model	Resistomes & Variants	1	80.49	NO	NO	Achromobacter xylosoxidans	1.00	0.00	1.00	2.76	18.00	34.00	0	0	0	0	N/A	N/A		651	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
OprZ	3004142	protein homolog model	Resistomes & Variants	1	83.48	NO	NO	Achromobacter xylosoxidans	4.00	0.00	4.00	24.44	338.00	137.75	0	0	0	0	N/A	N/A		1383	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
LpsB	3005051	protein homolog model	Resistomes & Variants	4	94.81 - 97.8	YES	NO	Acinetobacter pittii; Acinetobacter baumannii	7.00	0.00	7.00	9.19	102.00	142.25	0	0	0	0	N/A	N/A		1101; 1101; 1101; 1143	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic
Acinetobacter baumannii AmvA	3004577	protein homolog model	Resistomes & Variants	3	94.31 - 98.14	NO	NO	Acinetobacter pittii; Acinetobacter baumannii	10.00	0.00	10.00	7.63	113.67	138.08	0	0	0	0	N/A	N/A		1509; 1419; 1497	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; disinfecting agents and antiseptics	antibiotic efflux
FosA8	3007371	protein homolog model	Resistomes & Variants	2	54.07 - 61.19	YES	NO	Acinetobacter pittii; Pseudomonas fluorescens	3.00	0.00	3.00	4.28	17.50	25.75	0	0	0	0	N/A	N/A		408; 411	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
sul1	3000410	protein homolog model	Resistomes & Variants	9	99.28 - 100.0	NO	YES	Acinetobacter pittii; Escherichia coli; Klebsiella aerogenes; Pseudomonas aeruginosa; Proteus mirabilis	75.00	0.00	75.00	26.90	271.56	183.49	0	0	0	0	N/A	N/A		840; 840; 936; 963; 1014; 900; 1221; 1113; 1038	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
Acinetobacter baumannii AbaF	3004573	protein homolog model	Resistomes & Variants	1	99.07	NO	NO	Acinetobacter pittii	1.00	0.00	1.00	1.47	19.00	47.00	0	0	0	0	N/A	N/A		1290	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
ADC-15	3003859	protein homolog model	Resistomes & Variants	1	98.96	NO	NO	Acinetobacter pittii	3.00	0.00	3.00	1.82	21.00	41.33	0	0	0	0	N/A	N/A		1152	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
Klebsiella pneumoniae KpnH	3004597	protein homolog model	Resistomes & Variants	14	68.74 - 93.95	YES	NO	Avibacterium paragallinarum; Enterobacter cloacae; Morganella morganii; Klebsiella pneumoniae; Raoultella planticola; Klebsiella oxytoca; Enterobacter hormaechei; Klebsiella michiganensis; Serratia liquefaciens; Klebsiella quasipneumoniae; Pectobacterium parmentieri; Serratia marcescens	969.00	0.00	969.00	16.00	246.36	95.92	0	0	0	0	N/A	N/A		1515; 1551; 1548; 1545; 1533; 1539; 1539; 1548; 1539; 1536; 1539; 1536; 1536; 1539	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic	antibiotic efflux
adeI	3000780	protein homolog model	Resistomes & Variants	2	100.0	YES	NO	Acinetobacter baumannii	4.00	0.00	4.00	16.59	207.50	163.00	0	0	0	0	N/A	N/A		1251; 1251	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
ANT(3'')-IIc	3004091	protein homolog model	Resistomes & Variants	2	70.16 - 92.22	NO	NO	Acinetobacter baumannii	2.00	0.00	2.00	2.22	17.50	28.50	0	0	0	0	N/A	N/A		789; 786	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
adeK	3000782	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Acinetobacter baumannii	2.00	0.00	2.00	5.15	75.00	146.00	0	0	0	0	N/A	N/A		1455	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
CARB-3	3002242	protein homolog model	Resistomes & Variants	1	99.67	NO	YES	Acinetobacter baumannii; Proteus mirabilis; Salmonella enterica	6.00	0.00	6.00	17.76	203.00	195.17	0	0	0	0	N/A	N/A		1143	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation
adeJ	3000781	protein homolog model	Resistomes & Variants	2	99.81 - 99.91	NO	NO	Acinetobacter baumannii	3.00	0.00	3.00	4.97	158.00	143.25	0	0	0	0	N/A	N/A		3177; 3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
DfrB9	3005350	protein homolog model	Resistomes & Variants	1	77.92	YES	YES	Acinetobacter baumannii; Klebsiella pneumoniae; Pseudomonas aeruginosa	1.00	0.00	1.00	5.78	17.00	23.00	0	0	0	0	N/A	N/A		294	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
OXA-242	3001680	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Acinetobacter baumannii	1.00	0.00	1.00	2.23	18.00	34.00	0	0	0	0	N/A	N/A		807	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
tet(C)	3000167	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Acinetobacter baumannii	2.00	0.00	2.00	12.85	153.00	200.00	0	0	0	0	N/A	N/A		1191	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
aadA	3002601	protein homolog model	Resistomes & Variants	1	99.59	NO	NO	Acinetobacter baumannii	3.00	0.00	3.00	12.97	121.00	137.33	0	0	0	0	N/A	N/A		933	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
qacEdelta1	3005010	protein homolog model	Resistomes & Variants	3	99.13 - 100.0	NO	NO	Acinetobacter baumannii; Escherichia coli	10.00	0.00	10.00	47.92	205.33	181.68	0	0	0	0	N/A	N/A		366; 348; 990	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
BcII	3002878	protein homolog model	Resistomes & Variants	2	90.98 - 92.16	YES	NO	Bacillus cereus; Bacillus thuringiensis	5.00	0.00	5.00	3.94	30.50	39.50	0	0	0	0	N/A	N/A		774; 774	subclass B1 Bacillus cereus Bc beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
BcIII	3007101	protein homolog model	Resistomes & Variants	3	73.73 - 76.58	YES	NO	Bacillus cereus; Bacillus thuringiensis	10.00	0.00	10.00	2.89	27.33	39.38	0	0	0	0	N/A	N/A		951; 951; 933	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation
ErmG	3000522	protein homolog model	Resistomes & Variants	1	99.18	NO	NO	Bacillus cereus; Clostridium perfringens; Klebsiella pneumoniae	4.00	0.00	4.00	23.13	170.00	200.00	0	0	0	0	N/A	N/A		735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
FosBx1	3007372	protein homolog model	Resistomes & Variants	5	55.8 - 89.13	YES	NO	Bacillus cereus; Bacillus thuringiensis; Bacillus velezensis; Staphylococcus warneri	9.00	0.00	9.00	13.89	63.60	72.10	0	0	0	0	N/A	N/A		417; 465; 714; 444; 420	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
tet(45)	3003196	protein homolog model	Resistomes & Variants	10	61.36 - 89.5	YES	NO	Bacillus cereus; Staphylococcus hominis; Enterococcus faecium; Streptococcus suis; Pseudomonas aeruginosa; Enterococcus faecalis; Staphylococcus aureus	37.00	0.00	37.00	15.90	241.00	165.90	0	0	0	0	N/A	N/A		1377; 1392; 1605; 1404; 1857; 1383; 1374; 1131; 1287; 1404	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanY gene in vanF cluster	3002958	protein homolog model	Resistomes & Variants	3	54.68 - 59.11	NO	NO	Bacillus cereus; Bacillus thuringiensis	5.00	0.00	5.00	20.13	126.00	173.50	0	0	0	0	N/A	N/A		861; 195; 912	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanW gene in vanI cluster	3003724	protein homolog model	Resistomes & Variants	21	25.73 - 38.21	YES	NO	Bacillus cereus; Corynebacterium urealyticum; Corynebacterium amycolatum; Bacillus thuringiensis; Corynebacterium jeikeium; Bacillus halotolerans; Corynebacterium ureicelerivorans; Deinococcus radiodurans; Clostridium perfringens; Clostridium sporogenes; Megasphaera stantonii; Paeniclostridium sordellii; Peptacetobacter hiranonis; Rhodococcus rhodochrous; Nocardia farcinica; Parvimonas micra; Peptoniphilus harei	193.00	0.00	193.00	15.69	255.00	96.01	0	0	0	0	N/A	N/A		1299; 1731; 1731; 1695; 933; 1722; 1647; 912; 1755; 1359; 1737; 1545; 1263; 1563; 1482; 1224; 1416; 2604; 1989; 1401; 1497	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanY gene in vanA cluster	3002955	protein homolog model	Resistomes & Variants	1	33.76	NO	NO	Bacillus cereus	4.00	0.00	4.00	7.68	68.00	47.75	0	0	0	0	N/A	N/A		885	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
SAT-4	3002897	protein homolog model	Resistomes & Variants	3	97.81 - 99.44	NO	NO	Campylobacter jejuni; Staphylococcus epidermidis; Enterococcus faecalis	13.00	0.00	13.00	41.14	231.33	152.07	0	0	0	0	N/A	N/A		573; 579; 552	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
fexA	3002704	protein homolog model	Resistomes & Variants	6	98.32 - 99.58	NO	YES	Campylobacter jejuni; Staphylococcus simulans; Staphylococcus epidermidis; Staphylococcus aureus	24.00	0.00	24.00	15.07	218.50	189.75	0	0	0	0	N/A	N/A		1476; 1428; 1428; 1482; 1428; 1428	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
tet(O)	3000190	protein homolog model	Resistomes & Variants	7	87.62 - 98.95	YES	NO	Campylobacter jejuni; Campylobacter coli; Streptococcus suis; Gordonibacter urolithinfaciens	18.00	0.00	18.00	11.40	207.00	163.38	0	0	0	0	N/A	N/A		1680; 1746; 930; 1920; 2691; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(O/W/32/O)	3007122	protein homolog model	Resistomes & Variants	2	98.12 - 98.44	NO	NO	Campylobacter coli; Campylobacter jejuni; Streptococcus suis	12.00	0.00	12.00	19.89	382.00	200.00	0	0	0	0	N/A	N/A		1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
Brucella suis mprF	3003772	protein homolog model	Resistomes & Variants	1	99.66	YES	NO	Brucella suis	4.00	0.00	4.00	11.65	305.00	103.25	0	0	0	0	N/A	N/A		2619	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
amrB	3002983	protein homolog model	Resistomes & Variants	1	93.29	NO	NO	Burkholderia oklahomensis	15.00	0.00	15.00	22.24	706.00	81.60	0	0	0	0	N/A	N/A		3174	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic	antibiotic efflux
IND-7	3002263	protein homolog model	Resistomes & Variants	1	94.98	NO	NO	Chryseobacterium nakagawai	3.00	0.00	3.00	11.39	82.00	49.00	0	0	0	0	N/A	N/A		720	IND beta-lactamase	carbapenem	antibiotic inactivation
vanY gene in vanM cluster	3002961	protein homolog model	Resistomes & Variants	8	28.57 - 42.69	YES	YES	Borrelia crocidurae; Staphylococcus simulans; Staphylococcus equorum; Streptococcus pneumoniae; Staphylococcus arlettae	14.00	0.00	14.00	6.43	48.88	69.54	0	0	0	0	N/A	N/A		807; 693; 615; 717; 840; 912; 678; 678	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	Resistomes & Variants	4	99.01 - 99.91	YES	NO	Bifidobacterium bifidum	364.00	0.00	364.00	26.02	865.50	114.66	0	0	0	0	N/A	N/A		3327; 3327; 3327; 3327	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
SatA	3005045	protein homolog model	Resistomes & Variants	1	92.31	NO	NO	Bacillus thuringiensis	3.00	0.00	3.00	3.08	17.00	23.00	0	0	0	0	N/A	N/A		552	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
mdtB	3000793	protein homolog model	Resistomes & Variants	11	93.37 - 99.52	YES	NO	Citrobacter werkmanii; Citrobacter amalonaticus; Escherichia coli; Escherichia albertii; Escherichia fergusonii	51.00	0.00	51.00	11.59	362.09	134.88	0	0	0	0	N/A	N/A		3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
msrE	3003109	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Citrobacter werkmanii; Enterobacter hormaechei	3.00	0.00	3.00	17.21	254.00	138.00	0	0	0	0	N/A	N/A		1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
mdtC	3000794	protein homolog model	Resistomes & Variants	12	92.29 - 98.44	YES	NO	Citrobacter koseri; Citrobacter freundii; Citrobacter amalonaticus; Enterobacter cloacae; Escherichia coli; Enterobacter hormaechei; Enterobacter cancerogenus	99.00	0.00	99.00	17.92	551.92	137.69	0	0	0	0	N/A	N/A		3087; 3081; 3081; 3078; 3081; 3078; 3078; 3078; 3078; 3078; 3078; 3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
tet(Q)	3000191	protein homolog model	Resistomes & Variants	2	97.4 - 97.97	NO	NO	Bacteroides ovatus; Bacteroides fragilis; Phocaeicola massiliensis	14.00	0.00	14.00	25.02	496.50	188.79	0	0	0	0	N/A	N/A		1995; 1926	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
emrB	3000074	protein homolog model	Resistomes & Variants	14	92.04 - 99.41	YES	NO	Cronobacter dublinensis; Cronobacter universalis; Enterobacter cloacae; Enterobacter asburiae; Escherichia coli; Salmonella enterica; Enterobacter hormaechei; Leclercia adecarboxylata	1014.00	0.00	1014.00	11.81	182.36	99.53	0	0	0	0	N/A	N/A		1539; 1539; 1539; 1548; 1548; 1548; 1539; 1539; 1542; 1545; 1539; 1539; 1548; 1548	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ErmC	3000250	protein homolog model	Resistomes & Variants	4	95.08 - 99.18	NO	YES	Corynebacterium diphtheriae; Escherichia coli; Staphylococcus haemolyticus; Staphylococcus hominis; Staphylococcus aureus	14.00	0.00	14.00	25.97	199.25	143.88	0	0	0	0	N/A	N/A		735; 762; 816; 684	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
tet(W)	3000194	protein homolog model	Resistomes & Variants	5	95.85 - 99.84	YES	NO	Bifidobacterium longum; Bifidobacterium breve; Collinsella aerofaciens; Faecalibacterium prausnitzii; Trueperella pyogenes	48.00	0.00	48.00	24.64	495.40	191.21	0	0	0	0	N/A	N/A		2082; 1941; 2070; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(O/M/O)	3007120	protein homolog model	Resistomes & Variants	1	99.69	NO	NO	Campylobacter coli	8.00	0.00	8.00	22.97	441.00	200.00	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
BLMT	3005036	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Burkholderia glumae	10.00	0.00	10.00	34.99	148.00	175.10	0	0	0	0	N/A	N/A		423	Bleomycin resistant protein	glycopeptide antibiotic	antibiotic inactivation
